the_geom,other_names_1,cartodb_georef_status,iu_archives_number,latitude,longitude,purl,image_url,archive_date,description_from_notebook,description_from_slide_mount,image_note,slide_condition,city_and_state,geocoordinates,personal_names_1,corporate_names_1,cartodb_id,genre_1,genre_2,topical_subject_headings_1,topical_subject_headings_2,topical_subject_headings_3,topical_subject_headings_4,topical_subject_headings_5,topical_subject_headings_6,topical_subject_headings_7,topical_subject_headings_8,topical_subject_headings_9,topical_subject_headings_10,topical_subject_headings_11,topical_subject_headings_12,other_1,date
0101000020E6100000537EADA6C69A5EC03333333333E34240,,FALSE,7969,37.775,-122.4183747,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07969,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07969.jpg,"Apr. 10, 1955",Toward the Mark Hopkins from Rincon Hill,Toward the Mark Hopkins from Rincon Hill,,,"San Francisco, California","37.775, -122.4183747",,Mark Hopkins Institute of Art,3770,Cityscape photographs,,Buildings,Signs (Notices),Roofs,,Storage tanks,,,,,,,,,1955-04-10 00:00:00+00
0101000020E6100000346CEFAE8E975AC0B09EA40A90C14340,,FALSE,6394,39.5122083,-106.3680837,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06394,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06394.jpg,"Nov. 2, 1952",Snow storm in pass near Redcliff.,"Snow storm in Rocky Mtn. pass near Redcliff, Colorado.",,,"Red Cliff, Colorado","39.5122083, -106.3680837",,,3145,Views,,Snow,Weather,Mountains,Tree limbs,Ice,Clouds,Blizzards,Storms,Passes (Landforms),,,,Red Cliff (Colo.),1952-11-02 00:00:00+00
0101000020E61000004E8061F9F31F56C0E52BDC4D4B8E4540,,FALSE,2725,43.1116731,-88.499266,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02725,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02725.jpg,14380,Spring flowers in garden,Oconomowoc,,,"Oconomowoc, Wisconsin","43.1116731, -88.4992660",,Roger's Sanitarium (Oconomowoc. Wis.),3000,Identification photographs,Landscape photographs,Trees,,Flowers,Gardens,,,,,,,,,,1943-05-16 00:00:00+00
0101000020E61000004329102CFD895EC081F33D7ECADC4240,Japanese magnolia,FALSE,7691,37.7249296,-122.1560774,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07691,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07691.jpg,"Mar. 13, 1955",Japanese Magnolia blossoms at San Leandroall cut too far to left,"Japanese magnolia San Leandro, Calif.C1 - EK",,,"San Leandro, California","37.7249296, -122.1560774",,,3866,Identification photographs,,Magnolias,Trees,,,,,,,,,,,,1955-03-13 00:00:00+00
0101000020E6100000359BC761B09F58C004E04499B26C3D40,,FALSE,5330,29.4246002,-98.4951405,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05330,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05330.jpg,"Dec. 20, 1951",S. A. river from Crockett St. bridge,Looking down on the little San Antonio river from the Crockett Street bridge,,,"San Antonio, Texas","29.4246002, -98.4951405",,,3280,Views,,Rivers,Buildings,Reflections,Trees,Cities & towns,Walkways,Bridges,Fire escapes,Lawns,,,,San Antonio River (Tex.),1951-12-19 00:00:00+00
0101000020E610000071FD6085800056C088C157CFA4F04440,,FALSE,3952,41.8800296,-88.0078443,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03952,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03952.jpg,16199,"Bed of pansies in Lilac Park, Lombard.",Pansy bed Lilac Park- Lombard,,,"Lombard, Illinois","41.8800296, -88.0078443",,,2319,Identification photographs,,Pansies,,Gardens,,,,,,,,,,"Lilacia Park (Lombard, Ill.)",1948-05-08 00:00:00+00
0101000020E61000008D1BC8C4F7E755C0626E522C12F04440,,FALSE,4239,41.8755546,-87.6244976,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04239,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04239.jpg,"Mar. 12, 1949",Faded pink frame shack flush with sidewalk at 4532 South Dearborn. | 4532 Dearborn,4532 So. Dearborn,,,"Chicago, Illinois","41.8755546, -87.6244976",,,1187,Architectural photographs,,Houses,Windows,Doors & doorways,Sidewalks,Fences,,,,,,,,,1949-03-12 00:00:00+00
0101000020E6100000234DBC033C0756C04FE0E70995EE4440,,FALSE,4953,41.8639233,-88.113038,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04953,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04953.jpg,17293,Grove of Cherry trees. Arb. E. | Cherry grove - Arb E,Cherry groveArb. -E.,,,"Wheaton, Illinois","41.8639233, -88.1130380",,Morton Arboretum,5293,Identification photographs,,Trees,Cherry trees,,Botanical gardens,,,,,,,,,,1951-05-07 00:00:00+00
0101000020E6100000F6059909ABE255C04E6A1E76953E4340,,FALSE,5083,38.4889362,-87.5416893,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05083,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05083.jpg,"Nov. 29, 1951",Holstein cows east of Hazleton,"Holsteins on a farm east of Hazleton, Indiana",,,"Hazleton, Indiana","38.4889362, -87.5416893",,,2022,Identification photographs,,,Cows,Farms,,,,,,,,,,,1951-11-29 00:00:00+00
0101000020E61000006B5E7AA03A0756C04FE0E70995EE4440,,FALSE,2808,41.8639233,-88.1129533,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02808,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02808.jpg,"Oct. 10, 1943",Slanting sun lights up yellow-leaved tree. Arboretum [W.],Arb. W.,,,"Wheaton, Illinois","41.8639233, -88.1129533",,Morton Arboretum,4446,Identification photographs,,Trees,Leaves,Botanical gardens,Shadows,,,,,,,,,,1943-10-10 00:00:00+00
